state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
21,013,0002,44201,1,36.60843,-83.73694,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2011,Parts per million,No Events,5856,100.0,Y,245,245,0,24,0.0,0.0,Uncertified (past due),0.04891,0.010352,0.074,2011-06-03 11:00,0.072,2011-05-28 16:00,0.071,2011-05-21 17:00,0.07,2011-09-03 13:00,,,,,0.071,0.069,0.065,0.061,0.056,0.05,0.034,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-28
21,013,1002,44201,1,36.6719,-83.5264,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Instrumental - Ultra Violet 2B Model 202,2011,Parts per million,Events Included,3562,60.0,N,148,245,3562,14,0.0,0.0,Certification not required,0.052581,0.011065,0.074,2011-08-17 20:00,0.074,2011-09-02 03:00,0.073,2011-08-02 20:00,0.072,2011-08-24 15:00,,,,,0.074,0.073,0.067,0.065,0.06,0.054,0.038,Cumberland Gap NHP - Hensley Settlement,Cumberland Gap National Historic Park,Kentucky,Bell,,33180,"Middlesborough, KY",2021-11-28
21,013,0002,44201,1,36.60843,-83.73694,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5877,100.0,Y,245,245,0,0,0.0,0.0,Uncertified (past due),0.043694,0.010095,0.066,2011-09-03 11:00,0.063,2011-04-07 10:00,0.063,2011-06-02 10:00,0.062,2011-06-03 10:00,,,,,0.063,0.061,0.06,0.056,0.051,0.044,0.031,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-28
21,013,1002,44201,1,36.6719,-83.5264,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,Events Included,3560,60.0,N,148,245,0,0,0.0,0.0,Certification not required,0.048088,0.010578,0.069,2011-08-24 14:00,0.067,2011-09-02 00:00,0.066,2011-08-02 14:00,0.066,2011-09-01 23:00,,,,,0.067,0.066,0.064,0.061,0.055,0.05,0.034,Cumberland Gap NHP - Hensley Settlement,Cumberland Gap National Historic Park,Kentucky,Bell,,33180,"Middlesborough, KY",2021-11-28
21,013,0002,44201,1,36.60843,-83.73694,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5877,100.0,Y,245,245,0,0,0.0,0.0,Uncertified (past due),0.043694,0.010095,0.066,2011-09-03 11:00,0.063,2011-04-07 10:00,0.063,2011-06-02 10:00,0.062,2011-06-03 10:00,,,,,0.063,0.061,0.06,0.056,0.051,0.044,0.031,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-28
21,013,1002,44201,1,36.6719,-83.5264,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,Events Included,3560,60.0,N,148,245,0,0,0.0,0.0,Certification not required,0.048088,0.010578,0.069,2011-08-24 14:00,0.067,2011-09-02 00:00,0.066,2011-08-02 14:00,0.066,2011-09-01 23:00,,,,,0.067,0.066,0.064,0.061,0.055,0.05,0.034,Cumberland Gap NHP - Hensley Settlement,Cumberland Gap National Historic Park,Kentucky,Bell,,33180,"Middlesborough, KY",2021-11-28
21,013,0002,88101,1,36.60843,-83.73694,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,56,87.0,Y,53,61,0,9,0.0,0.0,Uncertified (past due),10.578571,5.624515,26.6,2011-06-08 00:00,26.0,2011-01-15 00:00,24.3,2011-01-03 00:00,17.8,2011-07-20 00:00,,,,,26.6,26.0,24.3,16.3,14.3,10.1,4.7,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-08
21,013,0002,88101,1,36.60843,-83.73694,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,56,87.0,Y,53,61,0,9,,,Uncertified (past due),10.578571,5.624515,26.6,2011-06-08 00:00,26.0,2011-01-15 00:00,24.3,2011-01-03 00:00,17.8,2011-07-20 00:00,,,,,26.6,26.0,24.3,16.3,14.3,10.1,4.7,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-08
21,013,0002,88101,1,36.60843,-83.73694,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,56,87.0,Y,53,61,0,9,0.0,0.0,Uncertified (past due),10.578571,5.624515,26.6,2011-06-08 00:00,26.0,2011-01-15 00:00,24.3,2011-01-03 00:00,17.8,2011-07-20 00:00,,,,,26.6,26.0,24.3,16.3,14.3,10.1,4.7,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-08
21,013,0002,88101,1,36.60843,-83.73694,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,56,87.0,Y,53,61,0,9,,,Uncertified (past due),10.578571,5.624515,26.6,2011-06-08 00:00,26.0,2011-01-15 00:00,24.3,2011-01-03 00:00,17.8,2011-07-20 00:00,,,,,26.6,26.0,24.3,16.3,14.3,10.1,4.7,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-08
21,013,0002,44201,1,36.60843,-83.73694,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,4162,100.0,Y,244,245,0,0,0.0,0.0,Uncertified (past due),0.043447,0.010221,0.066,2011-09-03 11:00,0.063,2011-04-07 10:00,0.063,2011-06-02 10:00,0.062,2011-06-03 10:00,,,,,0.063,0.061,0.058,0.056,0.051,0.044,0.03,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-28
21,013,1002,44201,1,36.6719,-83.5264,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,Events Included,2524,60.0,N,148,245,0,0,0.0,0.0,Certification not required,0.047216,0.010681,0.069,2011-08-24 14:00,0.066,2011-08-02 14:00,0.066,2011-09-01 23:00,0.065,2011-07-01 20:00,,,,,0.066,0.066,0.063,0.06,0.054,0.049,0.032,Cumberland Gap NHP - Hensley Settlement,Cumberland Gap National Historic Park,Kentucky,Bell,,33180,"Middlesborough, KY",2021-11-28
21,013,0002,88101,1,36.60843,-83.73694,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,56,87.0,Y,53,61,0,9,0.0,0.0,Uncertified (past due),10.578571,5.624515,26.6,2011-06-08 00:00,26.0,2011-01-15 00:00,24.3,2011-01-03 00:00,17.8,2011-07-20 00:00,,,,,26.6,26.0,24.3,16.3,14.3,10.1,4.7,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-08
21,013,0002,88101,1,36.60843,-83.73694,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,56,87.0,Y,53,61,0,9,,,Uncertified (past due),10.578571,5.624515,26.6,2011-06-08 00:00,26.0,2011-01-15 00:00,24.3,2011-01-03 00:00,17.8,2011-07-20 00:00,,,,,26.6,26.0,24.3,16.3,14.3,10.1,4.7,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-08
21,015,0003,44201,1,38.91833,-84.852637,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2011,Parts per million,No Events,5751,98.0,Y,240,245,0,129,0.0,0.0,Uncertified (past due),0.049175,0.013512,0.082,2011-07-07 16:00,0.081,2011-06-08 16:00,0.081,2011-07-15 17:00,0.081,2011-09-01 17:00,,,,,0.081,0.079,0.074,0.068,0.057,0.049,0.033,EAST BEND,KY 338 & LOWER RIVER ROAD,Kentucky,Boone,,17140,"Cincinnati, OH-KY-IN",2021-11-28
21,015,0003,44201,1,38.91833,-84.852637,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5756,98.0,Y,239,245,0,0,0.0,0.0,Uncertified (past due),0.043506,0.012123,0.075,2011-07-15 11:00,0.072,2011-09-01 10:00,0.071,2011-06-07 11:00,0.07,2011-06-30 11:00,,,,,0.071,0.069,0.065,0.06,0.051,0.044,0.028,EAST BEND,KY 338 & LOWER RIVER ROAD,Kentucky,Boone,,17140,"Cincinnati, OH-KY-IN",2021-11-28
21,015,0003,44201,1,38.91833,-84.852637,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5756,98.0,Y,239,245,0,0,0.0,0.0,Uncertified (past due),0.043506,0.012123,0.075,2011-07-15 11:00,0.072,2011-09-01 10:00,0.071,2011-06-07 11:00,0.07,2011-06-30 11:00,,,,,0.071,0.069,0.065,0.06,0.051,0.044,0.028,EAST BEND,KY 338 & LOWER RIVER ROAD,Kentucky,Boone,,17140,"Cincinnati, OH-KY-IN",2021-11-28
21,015,0003,44201,1,38.91833,-84.852637,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,4074,97.0,Y,238,245,0,0,3.0,3.0,Uncertified (past due),0.043332,0.012349,0.075,2011-07-15 11:00,0.072,2011-09-01 10:00,0.071,2011-06-07 11:00,0.07,2011-06-30 11:00,,,,,0.071,0.069,0.065,0.06,0.051,0.044,0.026,EAST BEND,KY 338 & LOWER RIVER ROAD,Kentucky,Boone,,17140,"Cincinnati, OH-KY-IN",2021-11-28
21,019,0017,42401,1,38.45934,-82.64041,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,2011,Parts per billion,No Events,8641,99.0,Y,361,365,0,119,0.0,,Uncertified (past due),5.213296,6.552475,64.0,2011-03-22 09:00,49.0,2011-07-17 19:00,34.0,2011-06-13 10:00,33.0,2011-06-03 11:00,,,,,33.0,23.0,16.0,12.0,7.0,3.0,1.0,ASHLAND PRIMARY (FIVCO),"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,26580,"Huntington-Ashland, WV-KY-OH",2021-11-09
21,019,0017,42602,1,38.45934,-82.64041,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2011,Parts per billion,No Events,4615,53.0,N,201,365,0,4145,0.0,,Uncertified (past due),16.38806,7.382321,35.0,2011-12-12 17:00,33.0,2011-11-07 18:00,31.0,2011-12-05 16:00,31.0,2011-12-13 03:00,,,,,31.0,30.0,28.0,26.0,23.0,16.0,7.0,ASHLAND PRIMARY (FIVCO),"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,26580,"Huntington-Ashland, WV-KY-OH",2021-11-09
21,019,0016,14129,1,38.3315,-82.59106,WGS84,Lead (TSP) LC,7,24 HOUR,Lead 3-Month 2009,Observed Values,Multiple Methods Used,2011,Micrograms/cubic meter (LC),No Events,60,98.0,Y,60,61,0,3,0.0,0.0,Uncertified (past due),0.003217,0.002545,0.009,2011-02-20 00:00,0.009,2011-03-28 00:00,0.009,2011-10-18 00:00,0.008,2011-04-21 00:00,,,,,0.009,0.009,0.009,0.007,0.005,0.002,0.001,LOCKWOOD,18138 CHERRYWOOD DRIVE,Kentucky,Boyd,,26580,"Huntington-Ashland, WV-KY-OH",2021-11-08
21,019,0017,42401,1,38.45934,-82.64041,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2011,Parts per billion,No Events,2858,98.0,Y,361,365,0,0,,0.0,Uncertified (past due),1.399825,2.268693,38.6,2011-07-17 20:00,31.0,2011-03-22 11:00,23.3,2011-06-13 11:00,20.6,2011-10-25 14:00,,,,,10.3,8.0,5.3,3.3,2.0,1.0,0.0,ASHLAND PRIMARY (FIVCO),"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,26580,"Huntington-Ashland, WV-KY-OH",2021-11-09
21,019,0017,42401,1,38.45934,-82.64041,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2011,Parts per billion,No Events,361,99.0,Y,361,365,0,0,0.0,,Uncertified (past due),1.413573,1.380402,8.0,2011-03-27 00:00,7.1,2011-03-28 00:00,6.9,2011-06-03 00:00,6.8,2011-01-21 00:00,,,,,6.8,5.5,4.1,3.2,2.0,1.0,0.1,ASHLAND PRIMARY (FIVCO),"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,26580,"Huntington-Ashland, WV-KY-OH",2021-11-09
21,019,0017,42401,1,38.45934,-82.64041,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,2011,Parts per billion,No Events,8641,99.0,Y,361,365,0,119,,,Uncertified (past due),1.412568,2.550286,64.0,2011-03-22 09:00,49.0,2011-07-17 19:00,45.0,2011-07-17 18:00,34.0,2011-06-13 10:00,,,,,12.0,9.0,5.0,3.0,2.0,1.0,0.0,ASHLAND PRIMARY (FIVCO),"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,26580,"Huntington-Ashland, WV-KY-OH",2021-11-09
21,019,0017,42602,1,38.45934,-82.64041,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2011,Parts per billion,No Events,4615,53.0,N,201,365,0,4145,,,Uncertified (past due),7.162947,6.498499,35.0,2011-12-12 17:00,33.0,2011-11-07 18:00,31.0,2011-12-05 16:00,31.0,2011-12-12 18:00,,,,,26.0,24.0,21.0,18.0,10.0,5.0,1.0,ASHLAND PRIMARY (FIVCO),"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,26580,"Huntington-Ashland, WV-KY-OH",2021-11-09
21,019,0017,44201,1,38.45934,-82.64041,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2011,Parts per million,No Events,5754,98.0,Y,241,245,0,126,0.0,0.0,Uncertified (past due),0.04868,0.012737,0.092,2011-09-03 12:00,0.086,2011-06-06 14:00,0.078,2011-08-01 12:00,0.078,2011-08-05 13:00,,,,,0.078,0.077,0.069,0.063,0.056,0.049,0.033,ASHLAND PRIMARY (FIVCO),"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,26580,"Huntington-Ashland, WV-KY-OH",2021-11-28
21,019,0017,44201,1,38.45934,-82.64041,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5769,98.0,Y,239,245,0,0,0.0,0.0,Uncertified (past due),0.043293,0.011796,0.079,2011-09-03 10:00,0.076,2011-06-06 11:00,0.073,2011-09-02 10:00,0.07,2011-06-03 12:00,,,,,0.073,0.067,0.062,0.058,0.051,0.044,0.03,ASHLAND PRIMARY (FIVCO),"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,26580,"Huntington-Ashland, WV-KY-OH",2021-11-28
21,019,0017,44201,1,38.45934,-82.64041,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5769,98.0,Y,239,245,0,0,2.0,2.0,Uncertified (past due),0.043293,0.011796,0.079,2011-09-03 10:00,0.076,2011-06-06 11:00,0.073,2011-09-02 10:00,0.07,2011-06-03 12:00,,,,,0.073,0.067,0.062,0.058,0.051,0.044,0.03,ASHLAND PRIMARY (FIVCO),"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,26580,"Huntington-Ashland, WV-KY-OH",2021-11-28
21,019,0002,81102,1,38.47676,-82.63137,NAD83,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,R&P Model 2000 Partisol - GRAVIMETRIC,2011,Micrograms/cubic meter (25 C),No Events,59,97.0,Y,59,61,0,5,0.0,0.0,Uncertified (past due),28.101695,18.4023,101.0,2011-06-02 00:00,63.0,2011-04-15 00:00,60.0,2011-05-09 00:00,60.0,2011-12-05 00:00,,,,,101.0,63.0,60.0,54.0,40.0,24.0,11.0,21ST & GREENUP,122 22ND STREET,Kentucky,Boyd,Ashland,26580,"Huntington-Ashland, WV-KY-OH",2021-11-08
21,019,0002,81102,2,38.47676,-82.63137,NAD83,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,Multiple Methods Used,2011,Micrograms/cubic meter (25 C),No Events,60,98.0,Y,60,61,0,4,0.0,0.0,Uncertified (past due),28.066667,20.017676,105.0,2011-12-05 00:00,99.0,2011-06-02 00:00,62.0,2011-04-15 00:00,60.0,2011-05-09 00:00,,,,,105.0,99.0,62.0,53.0,40.0,24.0,12.0,21ST & GREENUP,122 22ND STREET,Kentucky,Boyd,Ashland,26580,"Huntington-Ashland, WV-KY-OH",2021-11-08
21,019,0017,88101,1,38.45934,-82.64041,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,120,98.0,Y,119,121,0,5,0.0,0.0,Uncertified (past due),10.37,5.055517,28.3,2011-07-02 00:00,25.0,2011-09-03 00:00,22.5,2011-07-05 00:00,20.0,2011-07-26 00:00,,,,,25.0,22.5,19.7,17.7,13.5,9.7,4.8,ASHLAND PRIMARY (FIVCO),"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,26580,"Huntington-Ashland, WV-KY-OH",2021-11-08
21,019,0017,88101,1,38.45934,-82.64041,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,120,98.0,Y,119,121,0,5,,,Uncertified (past due),10.37,5.055517,28.3,2011-07-02 00:00,25.0,2011-09-03 00:00,22.5,2011-07-05 00:00,20.0,2011-07-26 00:00,,,,,25.0,22.5,19.7,17.7,13.5,9.7,4.8,ASHLAND PRIMARY (FIVCO),"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,26580,"Huntington-Ashland, WV-KY-OH",2021-11-08
21,019,0017,88101,1,38.45934,-82.64041,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,120,98.0,Y,119,121,0,5,0.0,0.0,Uncertified (past due),10.37,5.055517,28.3,2011-07-02 00:00,25.0,2011-09-03 00:00,22.5,2011-07-05 00:00,20.0,2011-07-26 00:00,,,,,25.0,22.5,19.7,17.7,13.5,9.7,4.8,ASHLAND PRIMARY (FIVCO),"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,26580,"Huntington-Ashland, WV-KY-OH",2021-11-08
21,019,0017,88101,1,38.45934,-82.64041,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,120,98.0,Y,119,121,0,5,,,Uncertified (past due),10.37,5.055517,28.3,2011-07-02 00:00,25.0,2011-09-03 00:00,22.5,2011-07-05 00:00,20.0,2011-07-26 00:00,,,,,25.0,22.5,19.7,17.7,13.5,9.7,4.8,ASHLAND PRIMARY (FIVCO),"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,26580,"Huntington-Ashland, WV-KY-OH",2021-11-08
21,019,0017,44201,1,38.45934,-82.64041,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,4093,98.0,Y,240,245,0,0,3.0,3.0,Uncertified (past due),0.042967,0.01221,0.079,2011-09-03 10:00,0.076,2011-06-06 11:00,0.073,2011-09-02 10:00,0.07,2011-06-03 12:00,,,,,0.073,0.067,0.062,0.058,0.052,0.044,0.027,ASHLAND PRIMARY (FIVCO),"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,26580,"Huntington-Ashland, WV-KY-OH",2021-11-28
21,019,0017,88101,1,38.45934,-82.64041,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,120,98.0,Y,119,121,0,5,0.0,0.0,Uncertified (past due),10.37,5.055517,28.3,2011-07-02 00:00,25.0,2011-09-03 00:00,22.5,2011-07-05 00:00,20.0,2011-07-26 00:00,,,,,25.0,22.5,19.7,17.7,13.5,9.7,4.8,ASHLAND PRIMARY (FIVCO),"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,26580,"Huntington-Ashland, WV-KY-OH",2021-11-08
21,019,0017,88101,1,38.45934,-82.64041,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,120,98.0,Y,119,121,0,5,,,Uncertified (past due),10.37,5.055517,28.3,2011-07-02 00:00,25.0,2011-09-03 00:00,22.5,2011-07-05 00:00,20.0,2011-07-26 00:00,,,,,25.0,22.5,19.7,17.7,13.5,9.7,4.8,ASHLAND PRIMARY (FIVCO),"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,26580,"Huntington-Ashland, WV-KY-OH",2021-11-08
21,029,0006,44201,1,37.98629,-85.71192,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2011,Parts per million,No Events,5815,99.0,Y,243,245,0,65,0.0,0.0,Uncertified (past due),0.051477,0.014026,0.116,2011-08-01 17:00,0.088,2011-07-01 16:00,0.084,2011-07-26 13:00,0.081,2011-08-04 14:00,,,,,0.084,0.08,0.073,0.068,0.061,0.051,0.034,SHEPHERDSVILLE,SECOND & CARPENTER STREETS,Kentucky,Bullitt,Shepherdsville,31140,"Louisville/Jefferson County, KY-IN",2021-11-28
21,029,0006,44201,1,37.98629,-85.71192,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5837,99.0,Y,243,245,0,0,1.0,1.0,Uncertified (past due),0.046049,0.012922,0.1,2011-08-01 11:00,0.073,2011-07-01 10:00,0.073,2011-08-04 12:00,0.072,2011-06-29 11:00,,,,,0.073,0.07,0.066,0.062,0.055,0.046,0.03,SHEPHERDSVILLE,SECOND & CARPENTER STREETS,Kentucky,Bullitt,Shepherdsville,31140,"Louisville/Jefferson County, KY-IN",2021-11-28
21,029,0006,44201,1,37.98629,-85.71192,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5837,99.0,Y,243,245,0,0,1.0,1.0,Uncertified (past due),0.046049,0.012922,0.1,2011-08-01 11:00,0.073,2011-07-01 10:00,0.073,2011-08-04 12:00,0.072,2011-06-29 11:00,,,,,0.073,0.07,0.066,0.062,0.055,0.046,0.03,SHEPHERDSVILLE,SECOND & CARPENTER STREETS,Kentucky,Bullitt,Shepherdsville,31140,"Louisville/Jefferson County, KY-IN",2021-11-28
